V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,LocationLatitude,LocationLongitude,LocationAccuracy,
R_9Z6PihvOcGHDvo1,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Academy Health,,,2017 Health Datapalooza,http://www.academyhealth.org/events/2017-04/2017-health-datapalooza,04/28/17,External Event,,,04/27/17,04/28/17,"Washington Hilton, Washington, DC",,,,,,,,The Annual Health Datapalooza is the gathering place for people and organizations creating knowledge from data and pioneering innovations that drive health policy and practice.,http://www.academyhealth.org/themes/custom/academyhealth/svg/ico-logo.svg,,,-1,
R_0UJstCnVHPlp5VX,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,National Institute on Minority Health and Health Disparities,,,NIH Nutrition Research Stragetic Plan - Submit Your Input!,https://ideabuzz.com/a/buzz/nih/strategic-plan?utm_medium=email&utm_source=govdelivery,04/19/17,External Event,,,04/28/17,04/28/17,Online,,,,,,,,The NIH Nutrition Research Task Force (NRTF) seeks input from biomedical researchers and health professionals to help develop the first ever NIH-wide strategic plan for nutrition research. Please share your perspective on critical gaps and opportunities in nutrition research along with ideas for how NIH should address them.,https://ideabuzz.com/community-library/104447/NIH_JPG.jpg,,,-1,
R_bdbBVPDYPAdwaGx,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UAB School of Medicine,,,2017 UAB Health Disparities Research Symposium,https://www.uab.edu/medicine/mhrc/research-symposium,03/21/17,External Event,,,05/03/17,05/03/17,"Birmingham, AL",,,,,,,,"The UAB Health Disparities Research Symposium highlights the work of undergraduate, graduate, faculty, and community investigators in basic science, clinical, behavioral, social sciences research and community-based research related to health disparities. Abstracts due Friday, March 3rd.",https://cher.unc.edu/files/2017/04/Jeroan-Allison_Catarina-Kiefe.png,,,-1,
R_42trqImKEEXDpQh,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,National Institute of Health,,,"2017 NIH Regional Seminar: Program Funding and Grants Administration, New Orleans",https://regionalseminars.od.nih.gov/neworleans2017/,04/05/17,External Event,,,05/03/17,05/05/17,"New Orleans Marriot, LA",,,,,,,,"Over 600 new investigators, research administrators, grant writers and others working with NIH grants and contracts will be in attendance from almost every state and numerous countries around the globe. The seminar is designed for those new to working with NIH grants. (This means session questions and discussions from those with roles similar to yours.)",http://regionalseminars.od.nih.gov/neworleans2017/wp-content/uploads/2016/12/eNIH_OER_Master_Logo_2Color_Seminar1.png,,,-1,
R_eh9OITsvyh8E6lT,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,American Public Health Association,,,10th National Conference on Health Disparities,https://www.apha.org/events-and-meetings/apha-calendar/2017/national-conference-on-health-disparities,05/06/17,External Event,,,05/03/17,05/06/17,"JW Marriot, New Orleans, LA",,,,,,,,"UNC Center for Health Equity Research is pleased to announce the opening of 10th National Conference on Health Disparities - Reducing Health Disparities Through Sustaining and Strengthening Healthy Communities. Please check the <a href=""http://www.nationalhealthdisparities.com/2017/"" target=""_blank"">conference website</a> for detailed agenda and registration information.",,,,-1,
R_8lgexBwSbbSL7JX,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC Center for Faculty Excellence,,,Fulbright Information Session,https://apps.research.unc.edu//events/index.cfm?event=events.eventDetails&event_key=D7D461EB56FAB2383466D0CF5A3BDECB7DE87666,05/04/17,External Event,,,05/04/17,05/04/17,"UNC-Chapel Hill Fedex Building, Room 3009, Deberry Conference Room",,,,,,,,"Are you a faculty member interested in international research and/or teaching grants? The Fulbright Information Session will discuss the U.S. Fulbright Scholar Program, specifically the Fulbright Core and Specialist awards for faculty (and postdocs for the Core only), which allow for international research and/or teaching opportunities.",,,,-1,
R_0lxMyGCAvF8zJjL,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Association of American Medical Colleges,,,"Inspiring Intersections: A Call to Collaborate, Challenge, and Change",https://www.aamc.org/members/gwims/471202/inspiringintersectionsacalltocollaboratechallengeandchange.html?utm_medium=email&utm_source=govdelivery,04/17/17,External Event,,,05/04/17,05/07/17,"Westin Missions Hills, Palm Springs, CA",,,,,,,,"The theme of this summit is ""Inspiring Intersections"" and each day of the summit's 3-day programming will revolve around a different subtheme to enhance the participant??s experiences. Days 1, 2 and 3 themes are: Collaborate, Challenge, and Change.",https://www.aamc.org/linkableblob/464880-2/data/aamclogoblue-data.png,,,-1,
R_3t0P6uSBwbLKjiZ,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Association of American Medical Colleges,,,National Hispanic Medical Association (NHMA): 21st Annual NHMA Conference.,http://www.nhmamd.org/index.php/events/21st-annual-conference,05/07/17,External Event,,,05/04/17,05/07/17,"Washington, DC",,,,,,,,"We invite health professionals to submit a Speaker Abstract and we invite them as well as health professional students to submit a Hispanic Health Research or Community Service Poster Abstract for the NHMA 2017 Conference. We also invite government agencies, health industry, corporate and non profit health experts to becoming a Sponsor and to provide a Career Exhibit for our health professionals and students and medical residents.",,,,-1,
R_09d9PPejbcKWDcN,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC The Writing Center at UNC Chapel Hill,,,Summer Writing Group (SWG) Program Orientation,http://cfe.unc.edu/event/summer-writing-group-program-orientation/,05/05/17,External Event,,,05/05/17,05/05/17,Pleasants Room in Wilson Library (1st floor of library near grand entrance),,,,,,,,"The Summer Writing Group (SWG) Program brings together faculty members from all disciplines and career stages in small groups to help spur writing productivity and foster cross-disciplinary connections. The SWG Orientation allows faculty to learn about the program and meet other faculty in the writing groups to which they are pre-assigned based on their writing group preferences. Presentation will begin at 12:15pm. After you complete your registration, you will be sent a link to complete the form where you can express your writing group preferences.",http://writingcenter.unc.edu/files/2012/01/bulletin-consultations.jpg,,,-1,
R_2sChoCk4K3fMQpn,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Curran-Bauer Analytics,,,CBA 2017 Training Seminars by Professors Dan Bauer and Patrick Curran,https://www.regonline.com/builder/site/Default.aspx?EventID=1883784&utm_source=Past+Participants&utm_campaign=102cbfe86e-EarlyJanBlast&utm_medium=email&utm_term=0_4d12a2978e-102cbfe86e-182295521,06/16/17,External Event,,,05/15/17,06/16/17,"The Great Room at Top of the Hill Restaurant, 100 East Franklin Street, Chapel Hill, NC",,,,,,,,"The seminar will offer four 5-day workshops and one 3-day workshop this summer, including Structural Equation Modeling (5 days: May 15 - May 19), Longitudinal Structural Equation Modeling (5 days: May 22 - May 26), Network Analysis (3 Days: May 31 - June 2), Multilevel Modeling (5 Days: June 5 - June 9), Cluster Analysis and Mixture Modeling (5 days: June 12 - June 16). Tuition for all 5-day classes is $1795 ($1295 for students). Tuition for the three-day Network Analysis class is $1195 ($895 for students).  All registrants who enroll in two or more workshops are also eligible for a 10% discount on the total tuition (use discount code multi when checking out).  Detailed information on all classes can be found at curranbauer.org.",http://www.curranbauer.org/wp-content/uploads/2016/01/CurranBauer_Logo_Small2.jpg,,,-1,
R_8zRxzfHRA3GQwst,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Vanderbilt University Medical Center,,,Submit Abstracts and Learning Labs for the 2017 Advancing the Science of Community Engaged Research Conference,https://redcap.vanderbilt.edu/surveys/?s=FDEXX8N498,03/27/17,External Event,,,05/17/17,05/17/17,Online,,,,,,,,Please complete the survey and submit your abstract for the 2017 Advancing the Science of Community Engaged Research Conference.,https://www.ctsi.duke.edu/sites/www.ctsi.duke.edu/files/images/content/2016/2016%20Aug_CEnR_CallForAbstracts.jpg,,,-1,
R_6ViYezF1i6djDXD,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,National Institute of Health,,,"2nd Annual Vivian Pinn Symposium ""Puttin Science to Work for the Health of Women Health Women Make Healthy Communities: Women as Makers""",https://orwh.od.nih.gov/AVPregister/?utm_medium=email&utm_source=govdelivery,04/19/17,External Event,,,05/17/17,05/17/17,"NIH Main Campus, Natcher (Building 45), Balcony A",,,,,,,,"The health of women encompasses wellness, optimal mental and physical health, and all diseases and conditions that affect women from head to toe. This panel will address several domains that influence the health of women in the United States, draw relationships to larger contexts of families and communities, and highlight consideration of issues related to the experiences of women in society that affect their health.This event is open to the public but seating is limited.",https://pbs.twimg.com/profile_images/618497605656383488/N8snrhGv.png,,,-1,
R_8rcliwlFzD0WWNL,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Charlotte AHEC,,,After the ACA: The Future of Health Care Reform,https://www.charlotteahec.org/continuing_education/registration/workshop.cfm?EventID=50946&utm_source=HTML&utm_medium=postcard&utm_campaign=email_marketing,04/05/17,External Event,,,06/01/17,06/01/17,Charlotte AHEC Classroom 17/18 or Webinar,,,,,,,,"This talk will explore the changing landscape of health care reform. We will examine the Affordable Care Act??s successes and its shortcomings in expanding access to health insurance. We will then focus on how the Trump administration and Congress will be changing the direction of US health care policy and what policies could replace the ACA. Finally, we will discuss the potential for transformations of Medicare and Medicaid during the Trump administration.",https://www.charlotteahec.org/images/logo_banner.png,,,-1,
R_5oq2ag0fV8dDlEF,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,National Institute of Health,,,Inclusion Across the Lifespan Workshop,https://obssr.od.nih.gov/event/inclusion-across-the-lifespan-workshop/?utm_medium=email&utm_source=govdelivery,04/17/17,External Event,,,06/01/17,06/02/17,"NIH Main Campus, Natcher Conference Center, Room E1/E2",,,,,,,,"In response to scientific need and a congressional mandate in the 21st Century Cures Act (P.L. 114-255), the National Institutes of Health (NIH) is convening a workshop of experts on the appropriate inclusion of pediatric and older populations in research studies involving human subjects.  The workshop will bring together experts in clinical research to discuss barriers and opportunities for participation of these populations in clinical studies, including those supported by NIH. For those who are unable to attend in person, the plenary sessions will be videocast so that interested individuals may view the presentations and reports. The videocast will be found here: www.videocast.nih.gov.",https://obssr.od.nih.gov/wp-content/uploads/2016/02/OBSSR_Horz.png,,,-1,
R_734pelbk9vqYYmx,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,"Consortium on Race, Gender, and Ethnicity at UM College Park",,,Intersectional Qualitative Research Methods Institute,http://www.crge.umd.edu/IQRMI/index.html,03/21/17,External Event,,,06/04/17,06/09/17,Location: TBA,,,,,,,,"Since 2015, the Consortium on Race, Gender and Ethnicity (CRGE) has organized the weeklong Intersectional Qualitative Research Methods Institute (IQRMI). Few training institutes in the country focus on qualitative research methods and, currently, none incorporate discussions regarding the intersections of race, gender, class, ethnicity, and other dimensions of inequality.",,,,-1,
R_a4cZbx8OjfeUNA9,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Association of American Medical Colleges,,,Genomics and Society: Expanding the ELSI Universe,http://www.elsicon2017.org/,06/07/17,External Event,,,06/05/17,06/07/17,"Farmington, Connecticut",,,,,,,,"This 4th ELSI Congress is the latest in a series of major conferences for researchers and others interested in the ethical, legal and social implications (ELSI) of genomic research. With keynote speakers, plenary panels, workshops, and a wide range of paper, panel, and poster presentations, the Congress will provide an opportunity for scholars to reflect on current research and to envision future directions for ELSI research. The Congress seeks the engagement of researchers and students from inside and outside academia, from multiple disciplines and professions, and from the U.S. and other countries.",,,,-1,
R_3kGXIeDlQgUYRHD,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Robert Wood Johnson Foundation,,,Summer Program in Biostatistics & Computational Biology at the Harvard T.H. Chan School of Public Health,https://www.hsph.harvard.edu/biostatistics/diversity/summer-program/about-the-program/,07/22/17,External Event,,,06/10/17,07/22/17,Harvard University,,,,,,,,"The Summer Program is an intensive 6-week program, during which qualified participants receive a whirlwind introduction to biostatistics, epidemiology, and public health research. This program is designed to expose undergraduates to the use of quantitative methods for biological, environmental, and medical research. The program also provides advice about graduate school and the application process through GRE preparation, meetings with different departments of the Harvard T.H. Chan School of Public Health, and individualized mentoring by Harvard faculty. Participants take non-credit introductory courses in Biostatistics and Epidemiology and statistical programming languages such as R, and attend a series of topical seminars. The seminars, led by faculty members from various departments at the Harvard School of Public Health, are designed to broaden participant's understanding of the relationship of biostatistics to human health by providing a snapshot of methods developed and applied to real research projects in different fields. Participants also gain research experience through small-group research projects directed by faculty and graduate student mentors. At the end of the program, students present their research to the group and to affiliated faculty. Housing and travel are provided and a living stipend (including meals) of approximately $1900 is provided for the 6-week program.",,,,-1,
R_0JI0pnRYpJedoW1,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Academy Health,,,Academy Health 2017 Annual Research Meeting,http://www.academyhealth.org/events/site/2017-annual-research-meeting?utm_source=realmagnet&utm_medium=email&utm_content=cfa-b&utm_campaign=arm17,03/21/17,External Event,,,06/25/17,06/25/17,"Hyatt Regency, New Orleans, LA",,,,,,,,"AcademyHealth's Annual Research Meeting shares important findings, showcases the latest evidence, and moves research into action to improve health and health care. The meeting features compelling sessions, panels on critical and emerging issues in Health Services Research, and presentations of high quality peer-reviewed research. /  / Call for late-breaking abstracts. <a href=""https://academyhealth.confex.com/academyhealth/2017arm/late/cfp.cgi"">Submit your abstract</a> by March 31.",http://www.academyhealth.org/files/inline-images/brochure%20image.png,,,-1,
R_aWrs55opaQWtnJb,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC The Odum Institute,,,14th Annual Qualitative Research Summer Intensive,http://researchtalk.com/qrsi-2017/,01/27/17,External Event,,,07/24/17,07/28/17,"The Carolina Inn, 211 Pittsboro Street",,,,,,,,"ResearchTalk and the Odum Institute at University of North Carolina present: The 14th Annual Qualitative Research Summer Intensive July 24 - 28, 2017, at The Carolina Inn, Chapel Hill, North Carolina. Join us for five days of qualitative research professional development courses and networking opportunities. Registration is open now! Visit <a href=""http://researchtalk.com/qrsi-2017/"" target=""_blank"">here</a> for more information and to register.",,,,-1,
R_2n5JTLvIsEIMWqh,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,National Institute on Minority Health and Health Disparities,,,NIMHD Health Disparities Research Institute,https://content.govdelivery.com/accounts/USNIHNIMHD/bulletins/185b7c3,03/21/17,External Event,,,08/14/17,08/18/17,"NIH campus (John Edward Porter Neuroscience Research Center, Building 35), 35 Convent Drive, Bethesda, Maryland 20892",,,,,,,,"The National Institute on Minority Health and Health Disparities (NIMHD) will host the Health Disparities Research Institute (HDRI) from August 14 - 18, 2017. The HDRI aims to support the research career development of promising minority health/health disparities research scientists early in their careers and stimulate research in the disciplines supported by health disparities science.",,,,-1,
R_8unHqfV4ZMNRRBj,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,Association of American Medical Colleges,,,Grant Writers Coaching Group for NIH Awards,https://www.aamc.org/initiatives/diversity/portfolios/427802/grantwriters.html,03/21/17,External Event,,,09/07/17,09/07/17,"Orlando, FL",,,,,,,,"The AAMC has a program to support minority faculty write successful grants through the Grant Writers Coaching Group for NIH Awards designed for URM faculty who are actively working on an NIH Career Development (K or R) proposal. This program involves an intensive 1 day workshop held on September 7, 2017, from 8 a.m. to 4 p.m., followed by 3 months of continued peer review and online support sessions to strengthen the proposal.",,,,-1,
R_7O3ko9Dl3qQ0LHv,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,United States Conference on AIDS (USCA),,,2017 United States Conference on AIDS,https://www.2017usca.org/,04/17/17,External Event,,,09/07/17,09/10/17,"Marriot Marquis, Washington, DC",,,,,,,,"The 2017 United States Conference on AIDS (USCA) will be held September 7 - 10 at the Marriott Marquis Hotel in Washington, DC.  USCA's return to DC is important as we navigate expected changes in the Affordable Care Act, Medicaid expansion and service delivery.  Make sure that you register for USCA to hear from federal officials about various agency implementation plans.  Now more than ever, it is important that we convene with all stakeholders to make sure that our progress in dealing with the HIV epidemic remains at the forefront.","https://static.wixstatic.com/media/10d983_ccdc64cbd56d4d3d8fb569ad25793072~mv2.png/v1/fill/w_160,h_102,al_c,usm_2.00_1.00_0.00/10d983_ccdc64cbd56d4d3d8fb569ad25793072~mv2.png",,,-1,
R_3DHwqrJ0Oe620uN,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC Friday Center,,,BRIDGES 2017: Academic Leadership for Women,http://fridaycenter.unc.edu/noncreditprograms/bridges/,04/19/17,External Event,,,09/08/17,11/18/17,"Rizzo Conference Center at Meadowmont, Chapel Hill, NC",,,,,,,,"BRIDGES is an inclusive professional development program for women in higher education who seek to gain or strengthen their academic leadership capabilities. It is designed to help women identify, understand, and build their leadership roles in the academy. The application deadline is MAY 4TH, 2017.",http://fridaycenter.unc.edu/files/2014/04/pdep_bridges.jpg,,,-1,
R_9p2luY6E9crK5uJ,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,National Institute of Health,,,"2017 NIH Regional Seminar: Program Funding and Grants Administration, Baltimore",https://regionalseminars.od.nih.gov/baltimore2017/,04/05/17,External Event,,,10/25/17,10/27/17,Renaissance Baltimore Harborplace Hotel,,,,,,,,"Over 600 new investigators, research administrators, grant writers and others working with NIH grants and contracts will be in attendance from almost every state and numerous countries around the globe. The seminar is designed for those new to working with NIH grants. (This means session questions and discussions from those with roles similar to yours.)",https://regionalseminars.od.nih.gov/baltimore2017/wp-content/uploads/2016/12/eNIH_OER_Master_Logo_2Color_Seminar1.png,,,-1,
R_8dLAM3wQmEvZKSN,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC Center for Health Equity Research,,,Tiffany L. Young & Collaborators to Participate in Community-Based Research Partnership,https://cher.unc.edu/cher-news/cbpr/,04/11/17,CHER News,,,,,,,,,,,,,"We are proud to announce that Tiffany L. Young and her team have been selected to participate in the Community-Based Participatory Research Partnership(CBPR) Academy, which is offered through the Detroit Urban Research Center.",https://cher.unc.edu/files/2017/01/tiffany-young.jpg,,,-1,
R_9REK4Blf3p9TZHL,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC Center for Health Equity Research,,,Giselle Corbie-Smith elected President of the Society of General Internal Medicine,https://cher.unc.edu/cher-news/giselle-corbie-smith-elected-president-society-general-internal-medicine/,04/05/17,CHER News,,,,,,,,,,,,,"Giselle Corbie-Smith, MD, MSc, Kenan Distinguished Professor in the Departments of Social Medicine and Medicine, has been elected as President-Elect of the Society of General Internal Medicine (SGIM) Leadership Council, and will serve as President from 2017-2020.",https://cher.unc.edu/files/2016/11/corbie_smith-21-e1491489002658.jpg,,,-1,
R_eKEsx07zYP0VmV7,Default Response Set,Anonymous,,,,4,2017-04-20 02:00:00,2017-04-20 02:00:00,1,,UNC Center for Health Equity Research,,,"Congratulations to CHER Postdoctoral Fellow, Lori Hoggard",https://www.researchgate.net/publication/312047967_Examining_the_Association_Between_Perceived_Discrimination_and_Heart_Rate_Variability_in_African_Americans,03/13/17,CHER News,,,,,,,,,,,,,"Congratulations to Lori Hoggard, PhD, who recently accepted a Tenure-Track Assistant Professor position in the Department of Psychology at Rutgers University-New Brunswick. Her appointment begins on September 1, 2017. She was also a co-author for an article recently published in <em>Cultural Diversity and Ethnic Minority Psychology</em> titled ""Examining the association between perceived discrimination and heart rate variability in African Americans"".",https://cher.unc.edu/files/2013/09/Hoggard-Website-Photo.jpg,,,-1,
